"expen","age_ref","sex_ref","white","black","american_indian","asian","other","multi_race","welf_reic","welf_not_reiv","fwagexm","year","quarter"
667.9,54,1,1,0,0,0,0,0,0,1,21,2017,1
500,59,1,1,0,0,0,0,0,0,1,25000,2017,1
72.35,69,1,1,0,0,0,0,0,0,1,48395.6,2017,1
156.19838,63,2,0,0,0,1,0,0,0,1,59598.2,2017,1
426.0632,63,2,0,0,0,1,0,0,0,1,61746.2,2017,1
184.17466,60,1,1,0,0,0,0,0,0,1,80000,2017,1
113.56,60,1,1,0,0,0,0,0,0,1,80000,2017,1
631.73521,44,1,1,0,0,0,0,0,0,1,383230.8,2017,1
565.56266,44,1,1,0,0,0,0,0,0,1,383230.8,2017,1
65.9,29,2,1,0,0,0,0,0,0,1,8500,2017,1
239.13,33,2,0,1,0,0,0,0,0,1,94000,2017,1
292.38998,33,2,0,1,0,0,0,0,0,1,94000,2017,1
584.46721,26,2,1,0,0,0,0,0,0,1,78000,2017,1
580.82169,26,2,1,0,0,0,0,0,0,1,78000,2017,1
89.66,63,2,1,0,0,0,0,0,0,1,76822.2,2017,1
242.57,63,2,1,0,0,0,0,0,0,1,43697.8,2017,1
34,53,2,0,1,0,0,0,0,0,1,19780.8,2017,1
217.67,67,1,1,0,0,0,0,0,0,1,50973.4,2017,1
163.55,67,1,1,0,0,0,0,0,0,1,233230.8,2017,1
205.02,32,1,1,0,0,0,0,0,0,1,24000,2017,1
110.53,32,1,1,0,0,0,0,0,0,1,24000,2017,1
50,32,1,0,1,0,0,0,0,0,1,94714.8,2017,1
165.95,32,1,0,1,0,0,0,0,0,1,85150,2017,1
200.10106,47,1,1,0,0,0,0,0,0,1,130440.8,2017,1
93.26,47,1,1,0,0,0,0,0,0,1,134613,2017,1
169.16,31,2,1,0,0,0,0,0,0,1,47000,2017,1
17.98,31,2,1,0,0,0,0,0,0,1,47000,2017,1
155.46,45,1,1,0,0,0,0,0,0,1,85000,2017,1
221.76,45,1,1,0,0,0,0,0,0,1,85000,2017,1
397.16998,41,2,1,0,0,0,0,0,0,1,31500,2017,1
342.58,41,2,1,0,0,0,0,0,0,1,31500,2017,1
243.08,54,1,1,0,0,0,0,0,0,1,35000,2017,1
20.8,54,1,1,0,0,0,0,0,0,1,35000,2017,1
24.64,20,1,1,0,0,0,0,0,0,1,28600,2017,1
64,20,1,1,0,0,0,0,0,0,1,28600,2017,1
23.71,46,2,1,0,0,0,0,0,0,1,9010,2017,1
113.38,46,2,1,0,0,0,0,0,0,1,9010,2017,1
42.88,75,2,1,0,0,0,0,0,0,1,24650.8,2017,1
22.02,75,2,1,0,0,0,0,0,0,1,24825.6,2017,1
1116.14124,50,2,1,0,0,0,0,0,0,1,210722.2,2017,1
785.82142,50,2,1,0,0,0,0,0,0,1,200942.8,2017,1
1061.25,52,1,1,0,0,0,0,0,0,1,145000,2017,1
404.14,52,1,1,0,0,0,0,0,0,1,145000,2017,1
97.76,20,2,1,0,0,0,0,0,0,1,37000,2017,1
38,20,2,1,0,0,0,0,0,0,1,37000,2017,1
481.71,46,2,1,0,0,0,0,0,0,1,31415.4,2017,1
296.74952,46,2,1,0,0,0,0,0,0,1,20756,2017,1
1139.21176,59,1,0,0,0,1,0,0,0,1,62192.2,2017,1
1127.37998,59,1,0,0,0,1,0,0,0,1,112624.2,2017,1
1423.954,39,2,1,0,0,0,0,0,0,1,247230.8,2017,1
1294.58999,39,2,1,0,0,0,0,0,0,1,247230.8,2017,1
543.18,32,2,1,0,0,0,0,0,0,1,128000,2017,1
771.72,32,2,1,0,0,0,0,0,0,1,128000,2017,1
200.44,43,2,1,0,0,0,0,0,0,1,22000,2017,1
